#! FIELDS time rho theta phi
#! SET min_theta 0.
#! SET max_theta pi
#! SET min_phi -pi
#! SET max_phi pi
 459.000000 0.178138 1.496967 -2.217216
 460.000000 0.146354 1.544419 -2.353810
 461.000000 0.173682 1.710625 -2.327691
 462.000000 0.181762 1.805645 -2.366495
 463.000000 0.152884 1.920782 -2.714033
 464.000000 0.155166 1.609381 -2.741260
 465.000000 0.183509 1.818361 -2.393030
 466.000000 0.166653 1.783388 -2.579541
 467.000000 0.164040 1.870836 -2.286069
 468.000000 0.158914 1.867349 -2.388424
 469.000000 0.159706 1.733812 -2.390849
 470.000000 0.188147 1.761429 -2.498493
 471.000000 0.158365 1.827799 -2.539363
 472.000000 0.157684 1.886388 -2.548191
 473.000000 0.190475 1.802162 -2.428301
 474.000000 0.192903 1.817525 -2.356578
 475.000000 0.197900 1.875451 -2.382400
 476.000000 0.208378 1.856837 -2.466320
 477.000000 0.208690 1.842805 -2.635234
 478.000000 0.196570 1.837000 -2.334866
 479.000000 0.202168 1.827603 -2.562964
 480.000000 0.210906 1.771469 -2.430764
 481.000000 0.201841 1.757039 -2.473300
 482.000000 0.179139 1.951538 -2.472193
 483.000000 0.147660 1.704645 -2.480251
 484.000000 0.123967 1.662567 -2.492871
 485.000000 0.116851 1.630754 -2.645389
 486.000000 0.132733 1.753237 -2.345937
 487.000000 0.124353 1.709236 -2.429214
 488.000000 0.132073 1.686570 -2.480092
 489.000000 0.129580 1.711443 -2.241712
 490.000000 0.111552 1.802130 -2.391446
 491.000000 0.125687 1.610649 -2.681192
 492.000000 0.163700 1.634017 -2.602647
 493.000000 0.111429 1.669159 -2.568817
 494.000000 0.142633 1.777787 -2.606430
 495.000000 0.114954 1.694576 -2.560415
 496.000000 0.110998 1.671838 -2.208036
 497.000000 0.092331 1.678954 -2.729393
 498.000000 0.109507 1.676495 -2.376676
 499.000000 0.116355 1.676381 -2.420547
 500.000000 0.129722 1.462232 -2.326586
 501.000000 0.117527 1.644953 -2.174287
 502.000000 0.109722 1.648560 -2.356519
 503.000000 0.130730 1.554322 -2.320578
 504.000000 0.107019 1.711652 -2.398706
 505.000000 0.099458 1.673793 -2.530230
 506.000000 0.099052 1.512259 -2.472094
 507.000000 0.119699 1.735402 -2.607427
 508.000000 0.090106 1.337493 -2.426779
 509.000000 0.091895 1.261253 -2.389509
 510.000000 0.089576 1.411497 -2.667634
 511.000000 0.105247 1.382521 -2.647657
 512.000000 0.103015 1.596227 -2.159770
 513.000000 0.101090 1.645296 -2.293701
 514.000000 0.097218 1.664230 -2.093967
 515.000000 0.078372 1.493618 -2.161333
 516.000000 0.087031 1.590459 -2.155550
 517.000000 0.063996 1.603561 -2.228715
 518.000000 0.085483 1.651945 -2.389925
 519.000000 0.074445 1.596189 -2.135880
 520.000000 0.076148 1.466653 -2.347849
 521.000000 0.063482 1.787317 -2.626745
 522.000000 0.089656 1.708976 -2.468103
 523.000000 0.087502 1.627125 -2.425078
 524.000000 0.071941 1.713437 -2.584309
 525.000000 0.080205 1.693515 -2.413959
 526.000000 0.082615 1.760421 -2.511676
 527.000000 0.081323 1.292279 -2.067563
 528.000000 0.063632 1.205523 -1.844514
 529.000000 0.073268 1.144820 -1.998012
 530.000000 0.068138 1.167378 -2.150690
 531.000000 0.073024 1.223357 -1.776379
 532.000000 0.092403 1.334069 -2.054957
 533.000000 0.075541 1.585592 -1.967519
 534.000000 0.088483 1.516288 -2.129559
 535.000000 0.056995 1.284977 -2.012001
 536.000000 0.101873 1.523800 -1.928248
 537.000000 0.097656 1.267756 -1.974405
 538.000000 0.086282 1.225483 -1.716287
 539.000000 0.091045 1.245714 -2.104205
 540.000000 0.100295 1.331080 -1.820621
 541.000000 0.116777 1.633122 -1.929427
 542.000000 0.115193 1.596108 -1.892133
 543.000000 0.103776 1.451078 -1.792842
 544.000000 0.105611 1.586058 -1.886365
 545.000000 0.104942 1.575369 -1.950014
 546.000000 0.101789 1.140364 -1.732361
 547.000000 0.106219 1.395841 -2.017803
 548.000000 0.091798 1.495442 -2.093698
 549.000000 0.074134 1.404671 -2.197915
 550.000000 0.086900 1.543718 -1.946725
 551.000000 0.094645 1.485023 -1.783533
 552.000000 0.083154 1.367754 -1.997058
 553.000000 0.067061 1.524253 -2.210984
 554.000000 0.073062 1.315363 -1.877803
 555.000000 0.076036 1.375653 -2.154018
 556.000000 0.093797 1.397234 -1.997924
 557.000000 0.099294 1.613738 -1.892180
 558.000000 0.076786 1.456776 -2.270798
 559.000000 0.076797 1.286074 -1.877632
 560.000000 0.080796 1.314697 -2.255578
 561.000000 0.066636 1.272541 -1.927053
 562.000000 0.086114 1.351140 -2.194099
 563.000000 0.119724 1.343527 -1.870899
 564.000000 0.108267 1.439900 -2.057207
 565.000000 0.120210 1.646815 -1.948827
 566.000000 0.093425 1.543352 -1.853762
 567.000000 0.110088 1.578318 -2.025720
 568.000000 0.056172 1.559065 -2.269277
 569.000000 0.121857 1.706404 -2.543187
 570.000000 0.123702 1.711175 -2.103808
 571.000000 0.146797 1.603939 -1.982236
 572.000000 0.152819 1.758884 -2.024623
 573.000000 0.141500 1.694457 -1.841144
 574.000000 0.141154 1.634402 -1.886747
 575.000000 0.144526 1.599118 -2.008558
 576.000000 0.119977 1.677754 -2.027469
 577.000000 0.124676 1.628627 -1.953162
 578.000000 0.131938 1.608795 -1.982371
 579.000000 0.145041 1.643924 -2.026796
 580.000000 0.110884 1.547115 -1.849299
 581.000000 0.145005 1.805538 -2.100715
 582.000000 0.089132 1.708975 -2.088519
 583.000000 0.103675 1.628458 -2.064406
 584.000000 0.093815 1.672352 -1.997281
 585.000000 0.099211 1.824872 -2.045796
 586.000000 0.133699 1.746669 -2.177434
 587.000000 0.158970 1.625940 -1.930159
 588.000000 0.131078 1.785912 -1.958230
 589.000000 0.152407 1.693213 -1.932701
 590.000000 0.121132 1.500577 -2.077120
 591.000000 0.100565 1.574870 -2.117302
 592.000000 0.073381 1.622896 -2.285804
 593.000000 0.077442 1.849176 -2.513290
 594.000000 0.087332 1.757642 -2.442108
 595.000000 0.101002 1.814281 -2.317773
 596.000000 0.113283 1.865557 -2.328408
 597.000000 0.106254 1.809438 -2.159622
 598.000000 0.094946 1.794257 -2.295181
 599.000000 0.090789 1.834037 -2.134761
 600.000000 0.109338 1.709984 -2.057606
 601.000000 0.100238 1.664431 -1.920243
 602.000000 0.084633 1.672764 -1.985462
 603.000000 0.084789 1.682956 -2.034802
 604.000000 0.117041 1.611123 -2.122597
 605.000000 0.106579 1.495571 -1.997929
 606.000000 0.121608 1.561388 -2.154355
 607.000000 0.102738 1.373102 -2.072476
 608.000000 0.066003 1.421258 -2.047612
 609.000000 0.110434 1.515018 -2.332321
 610.000000 0.114830 1.702010 -2.455586
 611.000000 0.131625 1.740681 -2.414042
 612.000000 0.089691 1.575080 -2.288282
 613.000000 0.116770 1.670324 -2.304959
 614.000000 0.100673 1.815759 -2.260631
 615.000000 0.133690 1.677352 -2.284101
 616.000000 0.132505 1.845642 -2.412894
